,Name,tR,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
0,Withanone,6.82,13.272045300408795,-1.1402503179396772,13.272045300408795,0.01590743200633349,0.4737536015641464,470.60600000000034,432.3020000000003,470.26683893599994,186,0,0.33345113936274356,-0.45828374984491727,0.45828374984491727,0.33345113936274356,1.088235294117647,1.7941176470588236,2.5,16.612692230478064,9.427739880629296,2.7837612534902894,-2.6075679685604642,2.7216369133777945,-2.6802852811626012,5.970796834743255,-0.2022536895370749,1.3376180157097046,1029.9137242478803,24.421920772951356,20.966213462681285,20.966213462681285,15.898355138210116,13.08462547877454,13.08462547877454,12.669946602318266,12.669946602318266,11.79744852687877,11.79744852687877,9.27062617662392,9.27062617662392,-1.4999999999999998,61973415.93631051,22.932,6.830108968008857,2.47778244533128,201.3170972944874,19.68678069728151,17.808983586480295,5.783244946364939,0.0,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,25.496599036284397,82.12004842841677,17.91183219915667,17.12000766812877,29.275855065425148,11.75255023431679,0.0,0.0,34.501605123439134,102.65761652122147,0.0,23.298249273806295,0.0,0.0,0.0,0.0,0.0,0.0,51.479605809210476,19.06280027574374,34.501605123439134,73.14361573600918,23.298249273806295,0.0,0.0,0.0,96.36000000000001,16.617092091364157,19.802129157825057,0.0,59.15106405160404,24.835569398847294,24.835569398847294,0.0,19.075777413358384,20.771211599071872,6.923737199690624,9.473725907600098,11.99453120239015,0.0,25.70039856839507,24.02610606298453,-1.5983948398819297,-0.07464010355363881,0.0,6.960597316926751,9.991401792739065,0.0,0.7857142857142857,34,2,6,4,2,6,0,0,0,6,2,6,2,3,1,4,6,3.4954000000000027,124.51160000000006,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5504442974852123,0.9825608953614251,0.0006134310154931261,0.1859410845040831,0.9728041769140737,1585.8411986750525,8296.783608141406,8528.729424723932,4.4228187201123985,0.27146466531368696
1,Corosolic acid,9.89,12.802751116601328,-0.6786899037877576,12.802751116601328,0.00992878401360553,0.4053994269976231,472.71000000000026,424.32600000000025,472.35526001599993,192,0,0.3097527636616839,-0.4808054432074283,0.4808054432074283,0.3097527636616839,0.9411764705882353,1.6176470588235294,2.264705882352941,16.368543058212513,9.329214938789313,2.6980135903574056,-2.712446280544135,2.752899325174033,-2.6688199307359928,5.764010923178757,-0.23194897514965337,1.621650621012261,907.4814043307387,25.06011345338556,22.525545479973122,22.525545479973122,15.665844430515278,13.967238742899674,13.967238742899674,14.646122181746787,14.646122181746787,13.355051267548848,13.355051267548848,10.995735394001937,10.995735394001937,-0.8699999999999999,23277658.77440702,24.80807056375758,7.340181698750396,2.7632321265301822,206.1480369021326,15.319582184522117,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,60.1152850347375,102.61606509180216,0.0,17.622923244893386,20.11411936859394,5.969305287951849,0.0,0.0,56.66448257779086,112.04066615673904,0.0,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,33.49682024797057,4.794537184071822,56.66448257779086,99.83273338124243,11.64912463690315,0.0,0.0,0.0,77.75999999999999,23.592228532845233,20.11411936859394,0.0,27.577867923748514,30.09244580757158,44.94575136048208,5.573104530069267,0.0,0.0,54.54218050466824,0.0,0.0,0.0,12.802751116601328,32.40165291268183,0.5744485425789543,1.3017559706006672,0.0,8.528284460670355,16.307773663533528,0.0,0.9,34,3,4,5,0,5,0,0,0,3,3,4,1,4,0,4,5,6.060300000000006,134.00140000000005,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47831372935582134,0.9738443866279363,0.000595423990508839,0.2272159999499563,0.9820466402965571,1649.323265354688,7128.513713212341,7258.834174168838,4.118553569190391,0.3442958941108591
2,Maslinic acid,9.77,12.761551192187117,-0.6787571588297603,12.761551192187117,0.007845450680272315,0.3968461992303292,472.7100000000003,424.32600000000025,472.35526001599993,192,0,0.30974235890462143,-0.48080557154666853,0.48080557154666853,0.30974235890462143,0.8823529411764706,1.5294117647058822,2.176470588235294,16.368533921415843,9.331395182281613,2.6953646272819456,-2.7107440105475047,2.7527789698824208,-2.6663458801374746,5.763382972467475,-0.23142747378465348,1.6073104495689916,918.7661168473403,25.112519696192855,22.57795172278042,22.57795172278042,15.551584006655906,13.852978319040302,13.852978319040302,15.214299071298273,15.214299071298273,13.002563165367294,13.002563165367294,10.764144497779858,10.764144497779858,-0.8699999999999999,19809969.38225114,24.80807056375758,7.119867663482813,2.8758562346240613,206.1480369021326,15.319582184522117,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,60.11528503473751,102.61606509180217,0.0,17.622923244893386,20.11411936859394,5.969305287951849,0.0,0.0,50.24366095486485,118.46148777966506,0.0,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,33.49682024797057,4.794537184071822,50.24366095486485,106.25355500416846,11.64912463690315,0.0,0.0,0.0,77.75999999999999,23.592228532845233,20.11411936859394,0.0,32.99285839314529,18.256633715248796,51.36657298340809,5.573104530069267,0.0,0.0,54.54218050466824,0.0,0.0,0.0,12.761551192187117,32.35665672239656,0.754214570527477,0.365040744163444,0.0,9.454460171842232,16.308076598883172,0.0,0.9,34,3,4,5,0,5,0,0,0,3,3,4,1,4,0,4,5,6.204400000000006,134.07140000000004,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714333741217372,0.9845917610281034,0.000657423287733945,0.1748687053637046,0.9714757459312676,1477.70205901866,8209.311706537532,8450.35168496975,4.380006037577982,0.30835822811916647
3,Soyasapogenol A,8.94,11.319026512158278,-0.684650670906308,11.319026512158278,0.061449455439562595,0.3994867731196944,474.7260000000003,424.32600000000025,474.37091007999993,194,0,0.08629915045432057,-0.3956952880226437,0.3956952880226437,0.08629915045432057,0.7941176470588235,1.4705882352941178,2.1176470588235294,16.331228679521534,9.330984304645444,2.692162907087389,-2.7150380728397767,2.751992287209901,-2.6680483039384084,5.342126006400731,-0.22530218778149888,1.5824655034489643,881.031109703921,25.112519696192855,22.69426729700614,22.69426729700614,15.616462262654366,13.973470910418742,13.973470910418742,15.153597234172741,15.153597234172741,13.479832750552248,13.479832750552248,10.70252844846656,10.70252844846656,-0.41999999999999993,22773172.91330298,25.2388347555019,7.3297261609813384,2.806478363391206,206.7807485542848,20.426109579362823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1152850347375,90.7802529994794,10.82998093879356,24.918781127757825,20.426109579362823,0.0,0.0,0.0,50.24366095486485,118.14463254448735,6.606881964512918,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,45.34489070712064,0.0,50.24366095486485,99.83273338124245,11.64912463690315,0.0,0.0,0.0,80.92,23.726889632641686,20.426109579362823,0.0,33.681834311496814,17.75371813848418,51.36657298340809,0.0,5.573104530069267,0.0,54.54218050466824,0.0,0.0,0.0,0.0,43.60030096005966,0.9202426637232286,1.172222719577066,0.0,8.78663878183664,16.18726154147008,0.0,0.9333333333333333,34,4,4,5,0,5,0,0,0,4,4,4,1,4,0,4,5,5.082900000000006,134.91120000000006,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5495449646805274,0.9822152263749094,0.000624052071535664,0.18775848603268314,0.9892678108622212,1585.2327970450224,8352.324371462735,8442.935552692306,4.399892520564993,0.3160096154127031
4,Ginsenoside Rh3,7.63,11.984979474885058,-1.44294585729824,11.984979474885058,0.03483924604302513,0.21067725193805387,604.869,544.3890000000004,604.4339042599998,246,0,0.18648588781465472,-0.39356651509118773,0.39356651509118773,0.18648588781465472,0.813953488372093,1.4883720930232558,2.13953488372093,16.709336903260215,9.348592182042873,2.701886912403015,-2.70316053980592,2.7528924050513117,-2.665560252416879,5.227899112553108,-0.3313417256770188,1.3761257206443116,1079.469926972695,31.69794165489025,27.922079088571575,27.922079088571575,20.023582463762313,16.96655507343159,16.96655507343159,16.60596234117098,16.60596234117098,14.024608151717464,14.024608151717464,11.461162905193993,11.461162905193993,-0.8000000000000003,1902925942.8821576,33.56007571072507,11.773718311453147,5.213221300325099,259.30212241968997,35.006362881803625,24.41586555099321,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.91693527225941,117.46937064471265,0.0,18.814814740009524,35.006362881803625,0.0,0.0,0.0,45.33158606223269,149.6702956367581,6.606881964512918,23.2982492738063,0.0,0.0,0.0,0.0,0.0,0.0,75.05334399454148,9.473725907600098,45.33158606223269,106.75647058093307,23.2982492738063,0.0,0.0,0.0,119.61000000000001,37.312774244841336,25.532636974203527,0.0,39.785800699245115,17.75371813848418,51.36657298340809,11.146209060138535,0.0,0.0,67.54193781119274,9.473725907600098,12.205982613609336,0.0,0.0,52.942537249139505,2.796813571505901,1.483204857086756,0.0,5.904663617688725,18.166798090969777,0.0,0.8888888888888888,43,5,7,4,1,5,0,0,0,7,5,7,6,4,1,5,5,5.130000000000004,166.8329999999997,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6210402644778619,0.9887969569359588,0.00034249965763171055,0.14926680124591563,0.9549355296637794,2788.1357203884286,17837.12010105449,18678.873648501394,5.699981281253521,0.20284894776410053
5,Ginsenoside compound K,9.51,12.24327478059125,-1.5037899446752576,12.24327478059125,0.013123550122783323,0.23086916087166878,622.8840000000001,560.3880000000003,622.444468944,254,0,0.18678823317035975,-0.3935665150826018,0.3935665150826018,0.18678823317035975,0.8636363636363636,1.5227272727272727,2.159090909090909,16.714160498147173,9.347733386063439,2.7128871840231765,-2.7025088345009403,2.7557991670928397,-2.6661526955348336,5.199936215114898,-0.33574470805197304,1.486000741499871,1072.354236771707,32.62059138570062,28.499049196068455,28.499049196068455,20.369534465282612,17.349805813549757,17.349805813549757,17.28238384798318,17.28238384798318,14.578722136598909,14.578722136598909,11.841104546516261,11.841104546516261,-0.58,2628170256.0771,34.74625864938725,11.834152932817952,5.168908282200332,264.78595920407025,40.11289027664433,24.41586555099321,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.26781063535627,123.89019226763867,0.0,24.41586555099321,40.11289027664433,0.0,0.0,0.0,45.33158606223269,161.69216807066783,6.606881964512918,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,85.76092220036587,9.473725907600098,45.33158606223269,113.17729220385908,11.64912463690315,0.0,0.0,0.0,139.84,49.01779144357333,30.63916436904423,0.0,39.599740357658206,18.256633715248796,51.36657298340809,5.573104530069267,0.0,0.0,61.46591770435886,9.473725907600098,12.61820164013332,0.0,0.0,64.96616812476438,0.17053153793772569,0.7130443470681008,0.0,2.603009120688159,17.512378562741645,0.0,0.9444444444444444,44,6,8,4,1,5,0,0,0,8,6,8,7,4,1,5,5,4.324800000000002,168.3167999999996,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3252312252538584,0.9474329833537707,0.0002136146981708321,0.31995428119244435,0.8456349561302284,3958.692746198376,10462.77285082182,12372.682532781373,4.637686540788236,0.2843965947264003
6,Ginsenoside F1,6.59,12.246676141135467,-1.5348199416143455,12.246676141135467,0.06922993614661377,0.2077572210688463,638.8830000000003,576.3870000000003,638.4393835640001,260,0,0.1867882331703599,-0.3935665150826018,0.3935665150826018,0.1867882331703599,0.8888888888888888,1.5555555555555556,2.1777777777777776,16.714193596811914,9.341914545883023,2.728993486582834,-2.7115575302184816,2.755716463621077,-2.695641540249084,5.2145792483203985,-0.3363670640558019,1.5090478033885921,1106.083223413341,33.490834873703704,28.81650627957149,28.81650627957149,20.78021806780557,17.441338036630253,17.441338036630253,17.440265546220324,17.440265546220324,14.462209854004644,14.462209854004644,12.028667705193138,12.028667705193138,-0.62,3717804348.958242,35.68080674199586,12.059115331808153,5.39116110329692,269.5801929562662,45.21941767148503,24.41586555099321,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.26781063535627,117.46937064471265,0.0,30.51983193874151,45.21941767148503,0.0,0.0,0.0,45.33158606223269,161.37531283549012,6.606881964512918,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,96.97141598295488,9.473725907600098,45.33158606223269,106.75647058093307,11.64912463690315,0.0,0.0,0.0,160.07,66.64071468846672,35.745691763884935,0.0,39.91659559283591,32.10410811463005,19.26246486877803,5.573104530069267,0.0,20.771211599071872,40.694706105287,9.473725907600098,12.570947118910995,0.0,0.0,76.92840024472558,-0.9436538114201076,-0.15362893335518057,0.0,-0.6777279129565924,16.692329960761953,0.0,0.9444444444444444,45,7,9,4,1,5,0,0,0,9,7,9,7,4,1,5,5,3.2956000000000003,169.70659999999964,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2388385209309136,0.9195970748768211,0.00015325056791659595,0.39286285123181885,0.8012228573805465,5228.188503788115,10662.611949169617,13307.922821908878,4.780312266684343,0.3340819886760875
7,alpha-Hederin,7.96,13.044008684038339,-1.6212991199872706,13.044008684038339,0.035963807619416865,0.15451417136610152,750.9670000000004,684.4390000000004,750.4554275520002,302,0,0.30974235890462143,-0.48080557154666853,0.48080557154666853,0.30974235890462143,0.8301886792452831,1.528301886792453,2.207547169811321,16.751314010370297,9.332070779364214,2.6983469338901465,-2.710881518661388,2.755832660589966,-2.6667359331106795,5.763523166111146,-0.36539674157739094,1.1503189261250875,1436.8921606037409,38.68106931801568,32.739921763712346,32.739921763712346,24.687631578905116,20.22154566190879,20.22154566190879,20.045686675914073,20.045686675914073,16.974573894302807,16.974573894302807,13.32747133856097,13.32747133856097,-1.1900000000000002,250854906976.28574,40.022668650331454,13.450605589986727,5.853136302142784,313.7818537802484,54.69314357908513,36.62379832648981,12.580053458670426,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,53.191547835046876,110.54563344502203,5.41499046939678,30.836687173919223,59.48768076315695,5.969305287951849,0.0,0.0,50.24366095486484,174.08616118775132,13.213763929025836,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,116.34054554151949,23.741988999272017,50.24366095486484,112.67437662709447,11.64912463690315,0.0,0.0,0.0,195.59999999999997,78.21107078740224,40.540228947956756,0.0,46.709537898935736,18.75954929201341,51.36657298340809,12.496841729759891,0.0,0.0,47.61844330497762,18.947451815200196,24.307747963017984,0.0,13.044008684038339,74.88990310552948,-0.23851751116222553,-0.19364199064821186,0.0,-1.7853467299386259,15.14251314582993,0.0,0.926829268292683,53,7,12,5,2,7,0,0,0,11,7,12,6,4,2,6,7,3.521100000000002,191.94159999999945,1,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5326154029378808,0.9814213383765328,0.00019132848554695558,0.191864943591098,0.9069868341392546,4740.469415970279,22409.218002263195,24707.32447128619,5.875953086413613,0.19396389604596478
8,Ginsenoside Rg5,9.63,12.143807397223453,-1.7392586436869404,12.143807397223453,0.0017140685031558078,0.12641061794566494,767.0100000000001,696.45,766.48672768,310,0,0.1868917766066007,-0.3935665150905977,0.3935665150905977,0.1868917766066007,0.6666666666666666,1.2777777777777777,1.9074074074074074,16.756148976191863,9.348591610751281,2.7038245916373143,-2.703279635514166,2.7535359024748325,-2.672304116792728,5.228849453380689,-0.37826651588491145,1.2280219079939692,1380.4418131136497,39.706013344398016,33.67407458313385,33.67407458313385,25.259964568980752,20.483571284322007,20.483571284322007,19.41334490653839,19.41334490653839,16.140402975933092,16.140402975933092,12.92668850772447,12.92668850772447,-1.0000000000000004,391318488680.4633,42.60166468489893,15.637877211238294,6.893382352941177,321.09573566814214,59.799670973925835,48.83173110198641,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.91693527225941,117.46937064471265,0.0,25.421696704522443,59.799670973925835,0.0,0.0,0.0,45.33158606223269,180.37618791708655,13.213763929025836,23.2982492738063,0.0,0.0,0.0,0.0,0.0,0.0,127.68570042390495,18.947451815200196,45.33158606223269,106.75647058093307,23.2982492738063,0.0,0.0,0.0,198.76,80.04053895907946,40.85221915872564,0.0,40.28871627600973,18.256633715248796,44.94575136048208,11.146209060138535,0.0,0.0,67.54193781119274,18.947451815200196,24.382641596487268,0.0,0.0,85.41762477230472,2.2850753980988494,1.1361753610624685,0.0,-3.648404743341901,17.093554282055255,0.0,0.9047619047619048,54,8,12,4,2,6,0,0,0,12,8,12,9,4,2,6,6,2.9542,199.46639999999937,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6516268143880288,0.9907744437537777,0.00022788883835861583,0.13552122197055472,0.9692532640258918,4253.184451713394,30418.947323416807,31383.899804545017,6.562068033337079,0.19873644113991645
9,Ginsenoside F3,6.11,12.409660465428484,-1.6588382974134552,12.409660465428484,0.10899305922537583,0.15300957486125222,770.9979999999999,700.438,770.4816423,312,0,0.18678847906379192,-0.39279539971602906,0.39279539971602906,0.18678847906379192,0.7777777777777778,1.4444444444444444,2.111111111111111,16.732920284914403,9.341914460356268,2.7298347220387438,-2.711559188478874,2.7561330027486144,-2.6957078570650794,5.215202803445383,-0.345684695379412,1.274882377095809,1357.7698145465954,39.92155629402184,33.54393790944418,33.54393790944418,25.02990696557949,20.356710020299413,20.356710020299413,19.841281217083033,19.841281217083033,16.16126133025947,16.16126133025947,13.13109417021514,13.13109417021514,-0.7800000000000001,299535186787.72955,42.81581379151399,15.1098328993788,6.860537789972371,320.21463033812586,64.90619836876654,42.72776471423811,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.26781063535627,117.46937064471265,0.0,37.126713903254426,64.90619836876654,0.0,0.0,0.0,45.33158606223269,185.97723872807023,13.213763929025836,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,138.39327862972934,18.947451815200196,45.33158606223269,106.75647058093307,11.64912463690315,0.0,0.0,0.0,218.98999999999998,84.63575861653392,45.95874655356634,0.0,53.13035952186174,32.10410811463005,24.835569398847294,0.0,0.0,20.771211599071872,40.694706105287,18.947451815200196,24.013428959161757,0.0,0.0,99.08076702971198,-1.2995924517819415,-0.39754343005904946,0.0,-7.5328692103155905,16.38580910328286,0.0,0.9512195121951219,54,9,13,4,2,6,0,0,0,13,9,13,9,4,2,6,6,1.7589000000000021,196.3331999999995,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26287174095916427,0.9245015787825355,8.594708928848937e-05,0.38117821400048485,0.7108323864685939,8270.581265208635,15423.224104364,21697.413339572748,5.425556595246689,0.17312613168853036
